"* Required Fields","* 必需欄位"
"Login and password are required","登入名稱和密碼為必需"
"Login or Create an Account","登入或是建立帳號"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","管理地址"
"Manage Customers","管理客戶"
"Missing email, skipping the record","缺少電子郵件。略過紀錄"
"Missing firstname, skipping the record","缺少名字。略過紀錄"
"Missing lastname, skipping the record","缺少姓氏。略過紀錄"
"Month","月"
"My Account","我的帳戶"
"My Account Dashboard","我的帳戶控制台"
"My Dashboard","我的控制台"
"My Orders","我的訂單"
"My Reviews","我的評論"
"My Tags","我的標籤"
"My Wishlist","我的收藏"
"Name","名"
"Name and Address Options","姓名或地址選項"
"Never","從不"
"New Address","新地址"
"New Address Entry","新地址輸入"
"New Customer","新客戶"
"New Customer Address","新客戶地址"
"New Customer Group","新的客戶群"
"New Customer Groups","新的客戶群體"
"New Customers","新用戶"
"New Group","新群組"
"New Password","新密碼"
"New account","新帳戶"
"New account confirmation key","新帳戶確認鑰匙"
"New account confirmed","新帳戶已確認"
"New password","新密碼"
"Newsletter","電子報訂閱"
"Newsletter Finish","電子報完成"
"Newsletter Information","電子報資訊"
"Newsletter Received","電子報已收到"
"Newsletter Start","電子報開始"
"Newsletter Subscription","電子報訂閱"
"Newsletters","電子報"
"No Items Found","找不到該商品"
"No Newsletter Found","找不到電子報"
"No item specified.","無指定商品。"
"No product collections found","找不到商品組"
"Not Sent","未發送"
"Not confirmed, can login","無認證，可以登入"
"Not confirmed, cannot login","無認證，不能登入"
"Number of lines in a street address ","街道名地址總行數"
"Offline","離線"
"Online","線上"
"Online Customers","線上客戶"
"Online Customers Options","線上客戶選擇"
"Online Minutes Interval","線上分鐘間隔"
"Order #","訂單號碼 #"
"Order #%s (%s)","訂單 #%s (%s)"
"Order List...","訂單表..."
"Order Total","訂單總計"
"Orders","訂單"
"PDF","PDF 格式"
"Password","密碼"
"Password Management","密碼管理"
"Password Options","密碼選項"
"Password can\'t be empty","密碼不能為空白"
"Password fields can\'t be empty.","密碼欄位不能為空白"
"Password forgotten","忘記密碼"
"Password minimal length must be more %s","密碼最小長度必須超過 %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","密碼必須至少 6 個字符。前製或尾隨的空格會被忽略。"
"Paused","暫停"
"Payment Method","支付方式"
"Pending","待決定中"
"Per Website","每個網站"
"Personal Information","個人資料"
"Please enter your email below and we\'ll send you a new password.","請於下面輸入您的電子郵件地址，我們將會寄給您新的密碼。"
"Please enter your email below and we\'ll send you confirmation link for it.","請於下面輸入您的電子郵件地址，我們將會寄確認連結給您"
"Please enter your email.","請輸入您的電子郵件。"
"Please make sure your passwords match.","請確認您的密碼一致性。"
"Please select","請選擇"
"Please select region, state or province","請選擇地區，州或省"
"Please, check your e-mail for confirmation key.","請檢查您的電子郵件確認鑰匙"
"Prefix","稱謂"
"Prefix dropdown options","稱謂下拉選項"
"Price","價格"
"Primary Billing Address","主要收款地址"
"Primary Shipping Address","主要的寄送地址"
"Problem saving the collection, aborting. Error: %s","儲存組時發生錯誤，中斷。錯誤： %s"
"Product","產品"
"Product ID","產品編號"
"Product Name","產品名稱"
"Product Reviews","產品評論"
"Product Tags","產品標籤"
"Product name","產品名稱"
"Purchase On","購買於"
"Purchased at","購買自"
"Qty","數量"
"Recent Orders","最近的訂單"
"Records for ""","紀錄 “"
"Redirect Customer to Account Dashboard after Logging in","客戶登入後導入至帳戶控制台頁面"
"Refunded","已退費"
"Registered Customers","已註冊客戶"
"Remove","刪除"
"Require Emails Confirmation","需要電子郵件確認"
"Retrieve address data","提取地址資料"
"Retrieve address info","提取地址信息"
"Retrieve customer addresses","提取客戶地址"
"Retrieve customer data","提取客戶資料"
"Retrieve customer groups","提取客戶群組"
"Retrieve customer info","提取客戶資料"
"Retrieve customers","提取客戶地址"
"Retrieve your confirmation link here","提取您的確認連結"
"Retrieve your password here","提取您的密碼"
"SKU","SKU"
"Sales Statistics","銷售統計"
"Save","儲存"
"Save Address","儲存地址"
"Save And Continue Edit","保存並繼續編輯"
"Save Customer","保存客戶"
"Save Customer Group","保存客戶群組"
"Save Password","保存密碼"
"Saved ","已儲存"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","分號 (;) 分隔數值。<br/>於一開始加入分號可以將第一個選項設為空白。<br/>空白為任意欄位。"
"Send From","寄件者"
"Send Welcome Email after Confirmation","確認後寄出歡迎信件"
"Send auto-generated password","寄送自動產生的密碼"
"Send confirmation link","寄送確認連結"
"Send welcome email","寄送歡迎郵件"
"Sending","寄出中"
"Sent","已寄出"
"Session Start Time","Session 開始時間"
"Set as Default Billing Address","設定為預設的收款地址"
"Set as Default Shipping Address","設定為預設的寄送地址"
"Share Customer Accounts","分享客戶賬戶"
"Shipped to First Name","寄送客戶名"
"Shipped to Last Name","寄送客戶姓"
"Shipped to Name","寄送名稱"
"Shipping Information","寄送資料"
"Shipping Method","寄送方式"
"Shopping Cart","購物車"
"Shopping Cart - %d item(s)","購物車 - %d 件物品"
"Show Tax/VAT number","查看 稅/ VAT 號碼"
"Show date of birth","顯示出生日期"
"Show middle name (initial)","顯示中間名（縮寫）"
"Show prefix","顯示前稱謂"
"Show suffix","顯示後綴"
"Sign Up for Newsletter","訂閱電子報"
"Sign up for our newsletter","訂閱我們的電子報"
"Skip import row, required field ""%s"" not defined","忽略輸入行，必須的欄位 “%s” 未定義"
"Skip import row, website ""%s"" field not exists","忽略輸入行，網站的欄位 “%s” 未定義"
"State/Province","州/省"
"Status","狀態"
"Store","商店"
"Store View","商店視版"
"Street Address","街道地址"
"Street Address ","街道地址"
"Subject","主旨"
"Submit","提交"
"Subscribe","訂閱"
"Subscribe to newsletter","訂閱電子報"
"Subscribed to Newsletter?","訂閱電子報？"
"Suffix","後綴"
"Suffix dropdown options","後綴下拉選單"
"TAX/VAT number is required.","稅/ VAT 編號為必填。"
"Tag Name","標籤名稱"
"Tax Class","稅類"
"Tax class","稅類"
"Tax/VAT number","稅/ VAT 號碼"
"Telephone","電話號碼"
"Text","文字"
"Text One Line","文字 一行"
"Thank you for registering with %s","感謝您於 %s 註冊"
"The address does not belong to this customer","該地址不屬於此顧客"
"The address was successfully deleted","該地址已成功刪除"
"The address was successfully saved","地址已成功儲存"
"The suffix that goes after name (Jr., Sr., etc.)","名字的後綴，例（小.,老., 等）"
"The title that goes before name (Mr., Mrs., etc.)","名字前的稱謂，例（先生.,女士., 等）"
"There are no items in customer's wishlist at the moment","目前並沒有商品在顧客的收藏中"
"There are no items in customer\'s shopping cart at the moment","目前並沒有商品在顧客的購物車中"
"There was an error while deleting the address","在刪除地址時發生錯誤"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","此電子郵件將取代歡迎電子郵件，於帳戶確認後寄出。"
"This account is not confirmed.","本帳戶尚未確認。"
"This customer has no saved addresses.","此客戶沒有儲存地址。"
"This e-mail does not require confirmation.","這個電子郵件不需要確認。"
"This email address was not found in our records","在資料中無法找到此電子郵件地址"
"This is My Primary %s Address","這是我的主要 <strong>%s</strong> 地址"
"To Cart","到購物車"
"Total","合計"
"Type","種類"
"Unknown","未知"
"Unsubscribe from newsletter","取消電子報訂閱"
"Update","更新密碼錯誤"
"Update customer address data","更信客戶地址資料"
"Update customer data","更新客戶資料"
"Use as My Primary %s Address","設定為我的主要 <strong>%s</strong> 地址"
"Use as my default billing address","設定為我的預設 <strong>收款</strong> 地址"
"Use as my default shipping address","設定為我的預設 <strong>寄送</strong> 地址"
"User description","使用者敘述"
"View","查看"
"View Order","查看訂單"
"View Order List","查看訂單列表"
"Visible In","可視於"
"Visitor","訪客"
"Visitors Only","限訪客"
"Website","網站"
"Welcome Email","歡迎郵件"
"Wishlist","收藏"
"Wishlist - %d item(s)","收藏 - %d 件商品"
"Wrong confirmation key.","錯誤的確認鑰匙"
"Wrong customer account specified.","錯誤的選擇客戶帳戶。"
"Wrong email.","錯誤的郵件"
"Wrong region id by selected country","選擇的地域 id 錯誤"
"Wrong transactional account email type.","錯誤的交易帳號郵件種類。"
"XML","XML"
"YYYY","YYYY"
"Year","年"
"You are currently not subscribed to any newsletter.","您目前並沒有訂閱任何的電子報"
"You are currently not subscribed to our newsletter","您目前並沒有訂閱我們的電子報"
"You are currently subscribed to 'General Subscription'.","您目前已訂閱：'一般訂閱'"
"You are currently subscribed to our newsletter","您目前已訂閱我們的電子報"
"You are currently subscribed to our newsletter.","您目前已訂閱我們的新聞"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","您目前已經登出，將於 5 秒後返回我們的首頁。"
"You have no additional address entries in your address book.","您的地址簿已經沒有其他的地址欄位了。"
"You have no additional entries in your address book.","您的地址簿已經沒有其他的欄位了。"
"You have no default billing address in your address book.","您尚未設定地址簿中預設的收款地址。"
"You have no default shipping address in your address book.","您尚未設定地址簿中預設的郵寄地址。"
"You have no primary entries in your address book.","您尚未設定地址簿中的主要郵寄地址。"
"You have not set a primary billing address.","您尚未設定主要收款地址。"
"You have not set a primary shipping address.","您還沒有設定主要的郵寄地址"
"You have placed no orders yet.","您還沒有加入任何訂單。"
"You have placed no products yet.","您還沒有加入任何產品。"
"You're now Logged Out","您現在已登出"
"Your account balance is: %s","您帳號內的餘額為： %s"
"ZIP","郵遞區號"
"ZIP/Post Code","郵遞區號"
"ZIP/Postal Code","郵遞區號"
"Zip/Postal Code","郵遞區號"
"n/a","不存在"
"or","或"
