"Sales","銷售"
"Categories","目錄"
"Up-sells","Up-sells"
"Add New Attribute","增加新的屬性"
"Tax Amount","稅價"
"Stop further rules processing","停止處理之後的規則"
"Parent Category","父目錄"
"New Block","新的模塊"
"This account is","此帳戶為"
"Unable to get product id.","無法獲取產品 id"
"Add Selected Product to Order","在訂單中加入已選取的產品"
"Language","語言"
"Products Report (Total)","產品報表（全部）"
"Default config","預設的設定"
"Page Status","頁面狀態"
"Order #","訂單號 #"
"Save Block","儲存模塊"
"View Products","查看產品"
"Last Name","姓"
"Backend Table","後台表"
"Back","回上頁"
"Customer with the same email already exists.","此郵件顧客已存在"
"ZIP/Postal Code","郵遞區號"
"Visitors Only","僅訪問者"
"New Group","新群組"
"Date Added","加入日期"
"Home","首頁"
"Attrib. Set Name","屬性組名稱"
"Zip/Post Code","郵遞區號"
"No Templates Found","找不到模板"
"Role Info","角色資料"
"Edit Poll '%s'","編輯投票 '%s'"
"New Customer","新顧客"
"Group","群組"
"Poll Question","投票問題"
"Error while saving account. Please, try again later","儲存帳號錯誤。請稍後再試。"
"Add New Poll","增加新的投票"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","重複行 #%s (國家 ""%s"", 地區/州 ""%s"", 郵遞區號 ""%s"" 和值 ""%s"")"
"Header Text","檔頭文字"
"Invalid file upload attempt","錯誤的上傳"
"The order you are trying to create invoice for no longer exists","要建立發票的訂單已不存在"
"Shipped to Last Name","寄送到姓"
"Votes Count","投票總數"
"Edit User","編輯用戶"
"Add New Tax Rate","增加新的稅率"
"Status","狀態"
"Edit Poll Answer","編輯投票答案"
"This user already added to the role.","此用戶已加入此角色"
"Save Attribute","儲存屬性"
"User ID","使用者 ID"
"Do you really want to cancel the queue?","你確定要取消此佇列嗎？"
"Save Rate","儲存匯率"
"Queue Start","佇列開始"
"Cross-sells","交叉銷售"
"Delete Rating","刪除評比"
"Import Rates From www.webservicex.net","由 www.webservicex.net 匯玉"
"Rule was successfully saved","角色儲存成功"
"Required","必須"
"N/A","N/A"
"Continue","繼續"
"Grid only","僅顯示格子"
"View Invoice","查看發票"
"Use default","使用預設"
"Category move error","搬移目錄失敗"
"Time","時間"
"Set Root Category For Store","設定商店的根目錄"
"Backend Table Title","後台表格標題"
"Product Information","產品訊息"
"New Website","新網站"
"Tax Rate","稅率"
"Text","本文"
"Input Validation for Store Owner","商店所有人輸入驗證"
"Revenue","收入"
"No records found.","找不到資料"
"Save Website","儲存網站"
"Last Activity","最後動作"
"Included Product Categories","包含產品目錄"
"Error while saving this tax class. Class with the same name already exists.","儲存稅別中發生錯誤。同類別已存在。"
"Name In Store","商店中的名稱"
"Error while deleting this tax rule. Please, try again later.","刪除稅則中發生錯誤。請稍後再試。"
"User was successfully deleted","用戶已成功刪除"
"New Currency","新匯率"
"Add New Review","加入新的評論"
"Store Code","商店代碼"
"View Customers","查看客戶"
"Number of Total Tags","標籤總數"
"Role successfully saved.","角色已成功儲存。"
"Delete Block","刪除模塊"
"Subscriber","訂閱人"
"Customer Since","顧客自"
"Password Management","密碼管理"
"Global Attribute","通用屬性"
"Delete Attribute Set","刪除屬性組"
"Rating Name","評價名"
"Paused","暫停"
"Product ID","產品 ID"
"Add Product","增加產品"
"Poll was successfully deleted","投票已成功刪除"
"Uses per coupon","單個折價券使用數"
"Format","格式"
"Configuration successfully saved","設定已成功儲存"
"Coupon Code","折價卷號碼"
"No Items Found","找不到該項"
"Checkout Price Rule","結帳價格規則"
"Use In Layered Navigation","在分層瀏覽中使用"
"Invalid Table Rates File Format","錯誤的表格匯率檔格式"
"Website Code","網站代碼"
"Save Tag","儲存標籤"
"Tag Name","標籤名稱"
"Manage Currencies","管理幣種"
"Credit Memo was not saved","收款附註並未存檔"
"Product Tax Class Information","產品稅類資料"
"new customer","新客戶"
"Unable to find an attribute to delete","無法找到要刪除的屬性"
"Delete Selected Group","刪除選擇的群組"
"Delete Rule","刪除規則"
"For matching items only","只限於符合的項目"
"Url","Url"
"Customer Group was successfully saved","客戶群組已成功刪除"
"Delete Review","刪除評論"
"Maximum Qty Discount is Applied to","最大數量折扣已套用於"
"Grid (default) / List","格子（預設）/ 列表"
"Manage Product Attributes","管理產品屬性"
"New System Template","新系統模板"
"Website Name","網帳名稱"
"Edit Block","編輯模塊"
"View","查看"
"Delete Customer","刪除客戶"
"Please, select Product Tax Class","請選擇產品稅別"
"Search was successfully deleted","搜索已成功刪除"
"Save Newsletter","儲存電子報"
"Letters","報"
"Synonym for","同義字："
"Conditions","條約"
"or","貨"
"%s Tax Classes","%s 稅別"
"Attribute Identifier<br/>(For internal use. Must be unique with no spaces)","屬性判別項<br/>（內部使用。必須不含空白並且獨特）"
"Convert to Plain Text","轉換為本文"
"Apply","套用"
"Apply Rules","套用規則"
"Save Search","儲存搜尋"
"Synonym For","同義字："
"Review was saved successfully","評論已成功儲存"
"Delete Selected Problems","刪除選定的問題"
"Invalid Country ""%s"" in the Row #%s","錯誤的國家 ""%s"" 在第 #%s 行"
"You cannot delete account of yourself","不能刪除您自己的帳戶"
"From Date","起始日期"
"Number Of Reviews","評論數"
"Manage Label / Options","管理 標籤/選項"
"Not Sent","未寄出"
"Discount amount","折扣額"
"Error while adding a group. Please, try again later.","加入群組中發生錯誤。請稍後再試。"
"Resume","回復"
"Redirect URL","轉向 URL"
"Invoice was charged succesfully","發票已成功收款"
"Sort order","訂單排序"
"Delete Store","刪除商店"
"Doc Number","文件號碼"
"Edit Answer '%s'","編輯回答 '%s'"
"All types","所有種類"
"Subtotal","小計"
"Coupon code","折價卷號碼"
"User Information","用戶資訊"
"Add new Role","增加新角色"
"# of Use","使用次數 #"
"New Customer Group","新客戶群組"
"For all types of checkout","用於所有的結帳"
"New Newsletter Template","新電子報模板"
"User Info","用戶資料"
"Edit Tag","編輯標籤"
"Error while saving this rate. Please try again later.","儲存稅率中發生錯誤。請稍後再試。"
"Customer Group was successfully deleted","客戶群組已成功刪除"
"New Customer Tax Class","新客戶稅別"
"Block was successfully saved","模塊已成功儲存"
"Online","上線"
"Queue Finish","佇列完成"
"Class Name","類別名稱"
"Stores","商店"
"Role ID","角色 ID"
"Rate With %s","率 %s"
"Poll information","投票資料"
"Poducts Report","產品報告"
"Edit Search","編輯搜尋"
"Last date subscribed","最後訂閱日期"
"Add","增加"
"Datetime","日期時間"
"Default Qty","預設的數量"
"Are you sure you want to cancel this order?","你確定要取消此訂單嗎？"
"Edit Poll","編輯投票"
"Category deleted","目錄已刪除"
"Qty To Add","增加數量"
"Backend Model","後台模組"
"User was successfully saved","用戶已儲存成功"
"Create Product Settings","建立產品設定"
"From","從"
"Newsletter Information","電子報資訊"
"Select Configurable Attributes ","選擇可設定的屬性"
"Attribute Information","屬性資料"
"Store Information","商店資料"
"n/a","n/a"
"Edit Website","編輯網站"
"Edit Set Name","編輯組合名"
"Tax rate was successfully saved","稅率已儲存成功"
"Billing Address","收款地址"
"Rules were successfully applied","規則已成功套用"
"This search no longer exists","此搜索已不存在"
"This attribute shares the same value in all the stores","此屬性被所有的商店分享"
"Data Type for Saving in Database","儲存資料庫的資料類別"
"Tag was successfully saved","標籤已成功儲存"
"Use advanced conditions","使用進階條件"
"Save","儲存"
"Type","種類"
"Purchased at","購買於"
"Enable","開啟"
"Recipients","收件人"
"Permission","權限"
"Promo","促銷"
"Class Details","類別詳細資料"
"Category saved","目錄已儲存"
"Name In %s","在 %s 的名稱"
"Zip/Postal Code","郵遞區號"
"Empty","空的"
"Product Name","商品名"
"NOT LOGGED IN","尚未登入"
"Role successfully deleted.","角色已成功刪除"
"Edit Search '%s'","編輯搜索 '%s'"
"Tax rule was successfully deleted","稅則已成功刪除"
"None","無"
"Per Order","每單"
"Number Added","號碼加入"
"For shipment with matching items","符合寄送條件的郵件"
"Tax rates file has been successfully imported","稅率已成功匯入"
"Ship to First name","寄至名"
"New Search","新搜尋"
"Edit Rule","編輯規則"
"Letters(a-z) or Numbers(0-9)","英文字母(a-z) 或阿拉伯數字(0-9)"
"Visible on Catalog Pages on Front-end","可於前台目錄中顯示"
"Edit User '%s'","編輯用戶 '%s'"
"Rule Information","規則資料"
"CSV","CSV"
"Submit Order","提交訂單"
"Options","選項"
"Edit Customer Group","編輯客戶群組"
"Delete","刪除"
"Error while saving this group. Group with the same name already exists.","儲存此群組中發生錯誤。同名稱群組已存在。"
"Last date unsubscribed","最後訂閱日期"
"Text Area","文字區"
"Queue Newsletter","排定的電子報"
"Bought From","購買從"
"Visitor","訪客"
"New Product Attribute","新產品屬性"
"Currency","幣種"
"Error while deleting this set.","刪除此組中發生錯誤。"
"Please select a product","請選擇一個商品"
"User Role","用戶角色"
"Assigned Role","指派角色"
"Date Created","建立日期"
"SKU","SKU"
"Conditions and Actions","條件和動作"
"Pause","暫停"
"Review","審核"
"Integer Number","整數"
"Option Label","選項標籤"
"Recently Compared","最近比較"
"Start","開始"
"Rates","率"
"Bundle","Bundle"
"Save Answer","儲存回答"
"Number of Uses","使用次數"
"Delete Rate","刪除率"
"Shopping Cart","購物車"
"Save Customer","儲存客戶"
"Apply To","套用於"
"Website","網站"
"Template Subject","模板標題"
"Preview Template","預覽模板"
"Attribute Properties","屬性內容"
"Customer was successfully saved","客戶已成功儲存"
"Create Credit Memo","建立收款附註"
"Order #%s","訂單號 #%s"
"Shipping Address","寄送地址"
"Attribute Identifier","屬性判別項"
"Globally Editable","可通用編輯"
"Category Data","目錄資料"
"Customer Tax Class Information","客戶稅別資訊"
"Selected subscribers were successfully added to the selected queue","選擇的訂閱人已成功加入佇列"
"Date","日期"
"Nickname","暱稱"
"Customers Tagged Product","顧客標記產品"
"Product Rating","商品評比"
"Edit %s Tax Class Title","編輯 %s 稅別標題"
"Customer Groups","客戶群組"
"Text Field","文字欄"
"Enabled","開啟"
"All","所有"
"Integer","整數"
"Bill to Last name","開帳單給姓"
"Backup","備份"
"Dropdown","下拉式"
"New Store","新商店"
"Product Tags (Total)","產品標籤（全部）"
"Toggle Editor","開關編輯器"
"Code","代碼"
"Search Information","搜尋資訊"
"Option Title","選項標題"
"ZIP/Post Code","郵遞區號"
"Tax class was successfully saved","稅別已成功儲存"
"Name<br/>(For internal use)","名稱<br/>（僅內部使用）"
"Qty","數量"
"Rating Title","評比標題"
"Advanced Conditions","進階條件"
"Tax Class","稅別"
"Keywords","關鍵字"
"New Rule","新規則"
"Fixed amount discount","固定折價金額"
"Redirect","轉向"
"You cannot edit this attribute","您無法編輯此屬性"
"Unsubcribed","取消訂閱"
"Edit Invoice #%s","編輯發票號 #%s"
"Add Group","增加群組"
"DB","DB"
"Tier Pricing","Tier Pricing"
"New Email Template","新郵件模板"
"Results","結果"
"First Name","名"
"Save Poll","儲存投票"
"Product Attribute Sets","產品屬性組"
"Save Category","儲存目錄"
"Customer Information","客戶資料"
"Create New Order","建立新訂單"
"Invalid Region/State ""%s"" in the Row #%s","錯誤的 地區/州 ""%s"" 在第 #%s 行"
"This invoice no longer exists","此發票已不存在"
"Create New Credit Memo","建立新的收款附註"
"New Customer Groups","新客戶群組"
"Bought from wishlists","從收藏中購買"
"Products Tagged with '%s'","產品被 '%s' 標註"
"Edit Role","編輯角色"
"Edit Order","編輯訂單"
"Edit Rating","編輯評比"
"Add New Block","增加新模塊"
"New Credit Memo for Invoice #","新的收款附註。發票號 #"
"Name","名稱"
"Not activated","尚未啟用"
"Invalid request","錯誤的要求"
"Exclude multi-address checkout","不包含多地址結帳"
"Add New Attribute Set","加入新的屬性組"
"Delete Invoice","刪除發票"
"Wrong column format","錯誤的列格式"
"Edit Order #%s","編輯訂單號 #%s"
"Review was successfully saved","評論已成功儲存"
"All Stores","所有商店"
"Summary of Review","所有評論摘要"
"Date Posted","公佈日期"
"Qty Shipped","寄出數量"
"Save config","儲存設定"
"Invoice was successfully charged","發票已成功收款"
"Actions","動作"
"Export","匯出"
"Please select State","請選擇州名"
"All countries","所有國家"
"Selected problems successfully deleted","選擇的問題已成功刪除"
"Save Store","儲存商店"
"Percent of product price discount","商品折價百分比"
"Save Page","儲存此頁"
"Error while saving this tax class. Please try again later.","Error while saving this tax class. Please try again later."
"Customers Only","Customers Only"
"Catalog Price Rule","Catalog Price Rule"
"Customer doesn't have primary billing address","Customer doesn't have primary billing address"
"Virtual Products","Virtual Products"
"Add New Answer","Add New Answer"
"Unable to find a poll to delete","Unable to find a poll to delete"
"All tags","All tags"
"%s Tax Classes Title","%s Tax Classes Title"
"Product name","Product name"
"(Will make search for the query above return results for this search.)","(Will make search for the query above return results for this search.)"
"Subcribed","Subcribed"
"Edit Group","Edit Group"
"Number Viewed","Number Viewed"
"Rating Information","Rating Information"
"Bill to First name","Bill to First name"
"Attribute set successfully saved.","Attribute set successfully saved."
"Attribute Model","Attribute Model"
"Error while saving this tax rule. Please try again later.","Error while saving this tax rule. Please try again later."
"Attribute with the same code already exists","Attribute with the same code already exists"
"Qty Returned","Qty Returned"
"Delete Template","Delete Template"
"Add Answer","Add Answer"
"Add New Tag","Add New Tag"
"Save Review","Save Review"
"Answer was successfully saved","Answer was successfully saved"
"Delete Search","Delete Search"
"New Poll","New Poll"
"Please, select Rate","Please, select Rate"
"Save Role","Save Role"
"All rates were imported","All rates were imported"
"Reviews","Reviews"
"Edit Invoice","Edit Invoice"
"Multiple Select","Multiple Select"
"Visible","Visible"
"Rating","Rating"
"Template Name","Template Name"
"Product Type","Product Type"
"Please select a customer","Please select a customer"
"Tax rate was successfully deleted","Tax rate was successfully deleted"
"Free ground shipping","Free ground shipping"
"Default price","Default price"
"Disabled","Disabled"
"No description","No description"
"Delete Tag","Delete Tag"
"Product saved","Product saved"
"Please select a store","Please select a store"
"This rule no longer exists","This rule no longer exists"
"This rule no longer exists","This rule no longer exists"
"Ratings","Ratings"
"Save Currency","Save Currency"
"Ship to Last name","Ship to Last name"
"Add New Search","Add New Search"
"Delete Poll","Delete Poll"
"Priority","Priority"
"Product Reviews","Product Reviews"
"Invoice was not charged","Invoice was not charged"
"Sent","Sent"
"Assigned Options","Assigned Options"
"Tax rule was successfully saved","Tax rule was successfully saved"
"IP Address","IP Address"
"Settings","Settings"
"Queue Subject","Queue Subject"
"Add New Category","Add New Category"
"Inactive","Inactive"
"Add New Customer","Add New Customer"
"Apply To Configurable/Grouped Product","Apply To Configurable/Grouped Product"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Customer was deleted","Customer was deleted"
"Please fill in 'email' field.","Please fill in 'email' field."
"Qty Cancelled","Qty Cancelled"
"Sending","Sending"
"Searchable on Front-end","Searchable on Front-end"
"Duplicate","Duplicate"
"Wrong tab configuration","Wrong tab configuration"
"Add New Page","Add New Page"
"Edit ""%s""","Edit ""%s"""
"Submit Invoice","Submit Invoice"
"Product duplicated","Product duplicated"
"Delete Role","Delete Role"
"Identifier","Identifier"
"Poll Answers","Poll Answers"
"Wishlists","Wishlists"
"Last Url","Last Url"
"Edit Block '%s'","Edit Block '%s'"
"Tax Rule Information","Tax Rule Information"
"Edit Class Details","Edit Class Details"
"Rule was successfully deleted","Rule was successfully deleted"
"Attribute Set","Attribute Set"
"Customer View","Customer View"
"Sender Email","Sender Email"
"Products Tags","Products Tags"
"HTTP (unsecure)","HTTP (unsecure)"
"Add Option","Add Option"
"Shipping Price","Shipping Price"
"Edit Website '%s'","Edit Website '%s'"
"Create New Customer","Create New Customer"
"Edit Newsletter","Edit Newsletter"
"# of Uses","# of Uses"
"Number of times deleted","Number of times deleted"
"Newsletter Finish","Newsletter Finish"
"Closed","Closed"
"Edit Page '%s'","Edit Page '%s'"
"Product deleted","Product deleted"
"Preview","Preview"
"Save Attribute Set","Save Attribute Set"
"Store was successfully saved","Store was successfully saved"
"You have not enought permissions to login.","You have not enought permissions to login."
"Product Attributes","Product Attributes"
"Return Html Version","Return Html Version"
"Save Order","Save Order"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"Group Information","Group Information"
"User Name","User Name"
"New Password","New Password"
"Average rating","Average rating"
"New User","New User"
"Active","Active"
"You can not delete self assigned roles.","You can not delete self assigned roles."
"Invoice was successfully saved","Invoice was successfully saved"
"Qty Ordered","Qty Ordered"
"XML","XML"
"Send auto-generated password","Send auto-generated password"
"Order Information","Order Information"
"List (default) / Grid","List (default) / Grid"
"Newsletter Received","Newsletter Received"
"Queue Date Start","Queue Date Start"
"SEF URL Identifier","SEF URL Identifier"
"Product SKU","Product SKU"
"Grand Total","Grand Total"
"Selected problem subscribers successfully unsubscribed","Selected problem subscribers successfully unsubscribed"
"Category Products","Category Products"
"Action","Action"
"Role Users","Role Users"
"Date Closed","Date Closed"
"Are you sure? This order will be cancelled and a new one will be created instead","Are you sure? This order will be cancelled and a new one will be created instead"
"Sender Name","Sender Name"
"Approved","Approved"
"Save and Apply","Save and Apply"
"Product Tax Class","Product Tax Class"
"Block was succesfully deleted","Block was succesfully deleted"
"Products Report (Total)","Products Report (Total)"
"Open","Open"
"Any","Any"
"Edit Store","Edit Store"
"Added","Added"
"Configurable Product Settings","Configurable Product Settings"
"Content","Content"
"Role Name","Role Name"
"Select All","Select All"
"in","in"
"Are you sure you want to take this action?","Are you sure you want to take this action?"
"Role Information","Role Information"
"Options Control","Options Control"
"Meta Keywords","Meta Keywords"
"Please select products to add","Please select products to add"
"Sender","Sender"
"Product","Product"
"Tax Rules","Tax Rules"
"Newsletter Start","Newsletter Start"
"Unable to find a block to delete","Unable to find a block to delete"
"New Tax Rate","New Tax Rate"
"Rating was successfully deleted","Rating was successfully deleted"
"Error during import: %s","Error during import: %s"
"Delete Answer","Delete Answer"
"Edit Customer Groups","Edit Customer Groups"
"Please, select County","Please, select County"
"Customer Tags","Customer Tags"
"(eg: domain.com/identifier)","(eg: domain.com/identifier)"
"No search modules registered","No search modules registered"
"New Product Tax Class","New Product Tax Class"
"Save Rule","Save Rule"
"Edit Sorting","Edit Sorting"
"The block you are trying to save no longer exists","The block you are trying to save no longer exists"
"Customers Report","Customers Report"
"Download","Download"
"Detail","Detail"
"Created On","Created On"
"Category delete error","Category delete error"
"Review successfully deleted","Review successfully deleted"
"Root","Root"
"ID","ID"
"Number of Responses","Number of Responses"
"Meta Description","Meta Description"
"Source Model","Source Model"
"Unselect All Stores","Unselect All Stores"
"Add New Group","Add New Group"
"Summary Rating","Summary Rating"
"Rate","Rate"
"Yes","Yes"
"Search Query","Search Query"
"Template Information","Template Information"
"Date Start","Date Start"
"Total","Total"
"Price","Price"
"Filterable (no results)","Filterable (no results)"
"Date Expire","Date Expire"
"Number Fulfilled","Number Fulfilled"
"New Category","New Category"
"Save Rating","Save Rating"
"Delete Option","Delete Option"
"Save Invoice","Save Invoice"
"Unable to apply rules","Unable to apply rules"
"New Tag","New Tag"
"User Email","User Email"
"Based On","Based On"
"Edit Customer's Address","Edit Customer's Address"
"New Order","New Order"
"Group Name","Group Name"
"Tax Rate Information","Tax Rate Information"
"Queue Information","Queue Information"
"Guest","Guest"
"Varchar","Varchar"
"Number of results<br/>(For last time placed)","Number of results<br/>(For last time placed)"
"Add New Customer Group","Add New Customer Group"
"Product attribute was successfully deleted","Product attribute was successfully deleted"
"Unable to find answer to delete.","Unable to find answer to delete."
"Unable to find a tag to delete","Unable to find a tag to delete"
"Meta Data","Meta Data"
"Save User","Save User"
"Template Type","Template Type"
"Invalid %s ""%s"" in the Row #%s","Invalid %s ""%s"" in the Row #%s"
"Reset","Reset"
"Hits","Hits"
"Page was successfully deleted","Page was successfully deleted"
"Page Title","Page Title"
"User with the same User Name or Email aleady exists","User with the same User Name or Email aleady exists"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Region/State","Region/State"
"Values Required","Values Required"
"This order no longer exists","This order no longer exists"
"Account status","Account status"
"Product Tags","Product Tags"
"Item Status","Item Status"
"Interface Language","Interface Language"
"Cancelled","Cancelled"
"Position","Position"
"Items Ordered","Items Ordered"
"Rating was successfully saved","Rating was successfully saved"
"New Product","New Product"
"Purchase On","Purchase On"
"Fiterable (with results)","Fiterable (with results)"
"Password","Password"
"Shipped to First Name","Shipped to First Name"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Decimal Number","Decimal Number"
"Wishlist","Wishlist"
"Create New Invoice","Create New Invoice"
"Credit Memo was saved succesfully","Credit Memo was saved succesfully"
"Tax Rates","Tax Rates"
"Submit Credit Memo","Submit Credit Memo"
"Unable to find a page to delete","Unable to find a page to delete"
"Purchased from (store)","Purchased from (store)"
"Added From","Added From"
"Payment Method","Payment Method"
"Poll was successfully saved","Poll was successfully saved"
"New Rating","New Rating"
"Delete Tier","Delete Tier"
"Telephone","Telephone"
"New Page","New Page"
"Error Text","Error Text"
"Edit Rule '%s'","Edit Rule '%s'"
"Page Information","Page Information"
"Delete Page","Delete Page"
"There are no items in customer's wishlist at the moment","There are no items in customer's wishlist at the moment"
"This attribute no longer exists","This attribute no longer exists"
"CMS Pages","CMS Pages"
"Attribute set was successfully removed.","Attribute set was successfully removed."
"You successfully logged out.","You successfully logged out."
"Total Tags","Total Tags"
"Visibility","Visibility"
"Edit Template","Edit Template"
"Frontend Properties","Frontend Properties"
"Pending","Pending"
"Error while deleting a group. Please try again later.","Error while deleting a group. Please try again later."
"Use website","Use website"
"No problems found","No problems found"
"Edit Store '%s'","Edit Store '%s'"
"Delete Customer Group","Delete Customer Group"
"CMS Blocks","CMS Blocks"
"Popular Tags","Popular Tags"
"Edit Page","Edit Page"
"Edit Tax Rate","Edit Tax Rate"
"Set Name","Set Name"
"Tax class","Tax class"
"Add New Rule","Add New Rule"
"Uses per customer","Uses per customer"
"HTTPS (SSL)","HTTPS (SSL)"
"Template Content","Template Content"
"Order was not cancelled","Order was not cancelled"
"Invoice #%s","Invoice #%s"
"Comparable on Front-end","Comparable on Front-end"
"Save Template","Save Template"
"Newsletter Subscription","Newsletter Subscription"
"Delete User","Delete User"
"Invalid Shipping Price ""%s"" in the Row #%s","Invalid Shipping Price ""%s"" in the Row #%s"
"Customers Tags","Customers Tags"
"Image","Image"
"Subscribers From","Subscribers From"
"Account Information","Account Information"
"Order status was successfully changed","Order status was successfully changed"
"New Set Name","New Set Name"
"Create Order","Create Order"
"Invoice was not saved","Invoice was not saved"
"Invoice was updated succesfully","Invoice was updated succesfully"
"Invoice #","Invoice #"
"Static","Static"
"Date Updated","Date Updated"
"Tag use","Tag use"
"Order was successfully cancelled","Order was successfully cancelled"
"Message","Message"
"Subject","Subject"
"Save Customer Group","Save Customer Group"
"This page no longer exists","This page no longer exists"
"Search was successfully saved","Search was successfully saved"
"Rating information","Rating information"
"Answer Title","Answer Title"
"Order #%s (%s)","Order #%s (%s)"
"No","No"
"Edit Invoice #","Edit Invoice #"
"Edit Attribute Set '{$this->_getSetData()->getAttributeSetName()}'","Edit Attribute Set '{$this->_getSetData()->getAttributeSetName()}'"
"All Products","All Products"
"Export CSV","Export CSV"
"Save And Resume","Save And Resume"
"View Newsletter","View Newsletter"
"To Date","To Date"
"Matching Products","Matching Products"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"Save Class","Save Class"
"Edit %s Tax Class","Edit %s Tax Class"
"User description","User description"
"Config","Config"
"Order Total","Order Total"
"Store","Store"
